TopicNb 	 Lucene 	 BM25 	 BM25L
401	0.0064	0.0064	0.0062
402	0.0376	0.0376	0.036
403	0.6782	0.6782	0.6505
404	0.0405	0.0405	0.0354
405	0.0249	0.0249	0.0251
406	0.0074	0.0074	0.0066
407	0.1406	0.1406	0.1459
408	0.0339	0.0339	0.0333
409	0.0474	0.0474	0.0501
410	0.6006	0.6006	0.597
411	0.0812	0.0812	0.098
412	0.1419	0.1419	0.1453
413	0.0179	0.0179	0.0144
414	0.1437	0.1437	0.1283
415	0.1005	0.1005	0.1036
416	0.299	0.299	0.3034
417	0.2969	0.2969	0.2723
418	0.0578	0.0578	0.0595
419	0.1337	0.1337	0.133
420	0.2752	0.2752	0.2679
421	0.0244	0.0244	0.0176
422	0.2858	0.2858	0.2926
423	0.4473	0.4473	0.466
424	0.0083	0.0083	0.0089
425	0.0661	0.0661	0.0737
426	0.0066	0.0066	0.0069
427	0.1075	0.1075	0.1028
428	0.0441	0.0441	0.0435
429	0.2846	0.2846	0.2967
430	0.5582	0.5582	0.5329
431	0.0601	0.0601	0.0696
432	0.0046	0.0046	0.0042
433	0.0018	0.0018	0.0068
434	0.2925	0.2925	0.2396
435	0.0523	0.0523	0.0376
436	0.0047	0.0047	0.0052
437	0.0086	0.0086	0.0081
438	0.1314	0.1314	0.1217
439	0.0199	0.0199	0.0175
440	0.0947	0.0947	0.0943
441	0.3641	0.3641	0.3665
442	0.0129	0.0129	0.0136
443	0.0801	0.0801	0.0635
444	0.4547	0.4547	0.4551
445	0.1035	0.1035	0.1057
446	0.0764	0.0764	0.0725
447	0.0265	0.0265	0.0236
448	0.0305	0.0305	0.0313
449	0.0497	0.0497	0.0435
450	0.1805	0.1805	0.154
AVG 	0.1409	0.1409	0.1378
